street,city,size,price,first_seen,site,type,open
Bakenesserstraat,haarlem,50.0,925.00,2019-01-01 22:49:48.040957+00:00,parius,Vloerbedekking: Laminaat,False
Van Egmondkade,utrecht,45.0,1195.00,2019-02-12 23:42:46.848740+00:00,parius,Vloerbedekking: Laminaat,True
Schoolstraat,utrecht,45.0,900.00,2019-02-16 16:06:48.197032+00:00,jaap,Appartement,False
Warmoesstraat,haarlem,38.0,1090.00,2019-01-01 22:50:56.537920+00:00,parius,"Vloerbedekking: Laminaat, Tapijt",True
Musketierlaan,utrecht,40.0,900.00,2019-02-16 16:06:58.396277+00:00,jaap,Bovenwoning,True
Ridderstraat,haarlem,29.0,1015.00,2019-01-01 22:51:45.683333+00:00,parius,Exclusief,False
Meesterlottelaan,haarlem,50.0,1150.00,2019-01-01 22:50:40.899803+00:00,parius,Begane grond,True
Ridderstraat,haarlem,33.0,965.00,2019-01-01 22:52:20.895189+00:00,parius,Exclusief,False
Schoutenstraat,hilversum,40.0,895.00,2019-02-12 23:55:59.478871+00:00,parius,Vloerbedekking: Laminaat,True
Ridderstraat,haarlem,32.0,1025.00,2019-01-01 22:52:58.366339+00:00,parius,Balkon,False
Ridderstraat,haarlem,25.0,875.00,2019-01-01 22:53:33.151357+00:00,parius,Exclusief,False
Catharijnesingel,utrecht,50.0,1150.00,2019-02-04 16:17:38.302766+00:00,huurstunt,Appartement,True
Vasco da Gamalaan,utrecht,65.0,1150.00,2019-01-04 02:24:21.781230+00:00,parius,Berging,False
Utrechtseweg,hilversum,65.0,1250.00,2019-02-12 23:57:46.001304+00:00,parius,Exclusief,True
Marsmanplein,haarlem,48.0,1250.00,2019-01-01 22:55:02.962879+00:00,parius,Apart toilet,True
Wittevrouwenstraat,utrecht,28.0,825.00,2019-01-02 21:00:56.053419+00:00,huurwoningen,Appartement (Galerijflat),False
Van Hoornekade,utrecht,35.0,995.00,2019-02-04 16:17:52.435005+00:00,huurstunt,Appartement,False
Johannes Uitenbogaertstraat,utrecht,56.0,900.00,2019-02-04 16:17:59.700008+00:00,huurstunt,Appartement,False
Karel Doormanlaan,hilversum,75.0,1200.00,2019-02-13 16:08:32.204271+00:00,jaap,Appartement,True
Amsterdamstraat,haarlem,40.0,1150.00,2019-02-07 07:39:23.197581+00:00,parius,Vloerbedekking: Laminaat,True
Jeruzalemstraat,utrecht,55.0,1200.00,2019-02-04 16:18:23.286032+00:00,huurstunt,Appartement,False
Oudezijds Voorburgwal,amsterdam,35.0,1200.00,2019-02-21 23:35:52.758056+00:00,parius,Begane grond,True
1e Daalsedijk,utrecht,50.0,1100.00,2019-01-04 02:25:32.669078+00:00,parius,Tuin,False
Kerkstraat,hilversum,70.0,975.00,2019-02-12 23:58:55.639435+00:00,parius,Begane grond,True
Surinameweg,haarlem,,905.00,2019-01-02 21:00:21.102830+00:00,huurwoningen,Huis (Eengezinswoning),False
Eemnesserweg,hilversum,50.0,845.00,2019-02-12 23:59:15.128489+00:00,parius,Exclusief,True
Livingstonelaan,utrecht,85.0,1195.00,2019-02-07 07:50:34.444669+00:00,parius,Apart toilet,True
Surinameweg,haarlem,,940.00,2019-01-02 21:00:13.446874+00:00,huurwoningen,Huis (Eengezinswoning),False
A.L. Dyserinckstraat,haarlem,55.0,995.00,2019-01-01 22:58:22.538674+00:00,parius,Parkeergelegenheid,False
Vechtplantsoen,utrecht,71.0,1250.00,2019-02-07 07:51:06.345176+00:00,parius,Airconditioning,True
Surinameweg,haarlem,93.0,1130.00,2019-01-01 22:58:38.461096+00:00,parius,Apart toilet,True
Leidsevaart,haarlem,63.0,1250.00,2019-02-16 16:01:09.600635+00:00,huurwoningen,Appartement (Portiekflat),True
Predikherenstraat,utrecht,55.0,1175.00,2019-02-04 16:18:59.589572+00:00,huurstunt,Appartement,False
Oudegracht,utrecht,75.0,1250.00,2019-02-04 16:18:41.786088+00:00,huurstunt,Appartement,True
Koningsweg,utrecht,70.0,964.00,2019-01-02 21:27:06.213313+00:00,jaap,Appartement,False
Van Diemenstraat,utrecht,55.0,1200.00,2019-01-04 21:17:40.948600+00:00,parius,Tuin,True
Hoogte Kadijk,amsterdam,25.0,900.00,2019-02-21 23:36:21.125089+00:00,parius,Vloerbedekking: Hout,True
Tafelbergdreef,utrecht,85.0,950.00,2019-02-04 16:19:09.808889+00:00,huurstunt,Appartement,False
Akerwateringstraat,amsterdam,10.0,650.00,2019-01-02 21:07:10.092346+00:00,jaap,Appartement,True
Lijsterstraat,utrecht,38.0,1150.00,2019-02-04 16:18:34.636133+00:00,huurstunt,Appartement,True
Faas Wilkesstraat 79 C,amsterdam,63.0,916.00,2019-01-30 17:09:57.250737+00:00,jaap,Appartement,True
Fortunadreef,utrecht,67.0,1195.00,2019-02-04 16:19:31.336854+00:00,huurstunt,Appartement,False
Van Limburg Stirumstraat 7,utrecht,50.0,1150.00,2019-02-22 16:06:37.457240+00:00,jaap,Bovenwoning,True
Waalstraat,amsterdam,16.0,800.00,2019-01-03 19:00:04.211941+00:00,huurwoningen,Kamer (Kamer),False
Van Speijkstraat,utrecht,40.0,1150.00,2019-02-04 16:19:24.191048+00:00,huurstunt,Appartement,False
Surinameweg,haarlem,,940.00,2019-01-03 19:00:46.352072+00:00,huurwoningen,Huis (Eengezinswoning),False
Europaplein,utrecht,29.0,695.00,2019-01-03 19:01:37.435786+00:00,huurwoningen,Appartement (Portiekflat),False
Europaplein,utrecht,39.0,795.00,2019-01-03 19:01:42.844414+00:00,huurwoningen,Appartement (Portiekflat),False
Oude Kerkstraat,utrecht,30.0,1100.00,2019-02-16 16:07:03.759023+00:00,jaap,Bovenwoning,True
Haparandaweg,amsterdam,27.0,1200.00,2019-02-04 16:09:16.687908+00:00,huurstunt,Studio,True
Adriaan Mulderstraat,utrecht,16.0,500.00,2018-12-30 17:06:13.230740+00:00,huurwoningen,Appartement (Portiekflat),False
Potterstraat,utrecht,45.0,1200.00,2019-02-04 16:19:58.329745+00:00,huurstunt,Appartement,True
Jutfaseweg,utrecht,45.0,995.00,2018-12-30 17:08:07.504944+00:00,huurwoningen,Appartement (Galerijflat),False
Saenredamstraat 17 Zwart,haarlem,51.0,1200.00,2019-01-03 19:14:36.705290+00:00,jaap,Benedenwoning,True
Oudegracht,utrecht,60.0,1225.00,2019-01-03 19:01:55.664848+00:00,huurwoningen,Appartement (Portiekflat),False
Valetonlaan,utrecht,76.0,1095.00,2019-01-03 19:02:03.119009+00:00,huurwoningen,Appartement (Portiekflat),False
Vredesteeg,utrecht,60.0,1250.00,2019-01-03 19:02:12.531566+00:00,huurwoningen,Appartement (Bovenwoning),False
Donkerstraat,utrecht,22.0,850.00,2019-02-04 16:20:08.469389+00:00,huurstunt,Huurwoning,False
Zomervaart,haarlem,40.0,985.00,2019-01-03 19:11:56.243859+00:00,jaap,Studio,False
Zijhuizen,haarlem,39.0,1215.00,2019-01-04 19:01:09.256123+00:00,huurwoningen,Appartement (Portiekflat),False
Buikslotermeerplein 429,amsterdam,87.0,1150.00,2019-01-03 19:05:45.660597+00:00,jaap,Appartement,False
Ben Nevis 52,amsterdam,120.0,970.00,2019-01-03 19:06:51.254204+00:00,jaap,Eengezinswoning,False
Nicolaas Ruychaverstraat 174,amsterdam,94.0,1000.00,2018-12-30 21:37:02.020837+00:00,jaap,Woon-/winkelpand,False
Linschotenstraat 2 Z,haarlem,46.0,1250.00,2018-12-30 21:38:48.780766+00:00,jaap,Benedenwoning,False
Spijkerboorweg 110,haarlem,94.0,1048.00,2018-12-30 21:40:54.861934+00:00,jaap,,False
Reykjavikstraat,utrecht,23.0,695.00,2018-12-30 17:40:31.925881+00:00,jaap,Benedenwoning + bovenwoning,False
Melissekade 318,utrecht,90.0,875.00,2018-12-30 17:39:00.774938+00:00,jaap,Appartement,True
De Lessepsstraat,utrecht,65.0,1250.00,2019-02-04 16:18:08.127894+00:00,huurstunt,Appartement,True
Surinameweg,haarlem,0.0,1130.00,2018-12-30 21:42:30.259677+00:00,jaap,,False
Van Eysingalaan,utrecht,70.0,1040.00,2019-02-04 16:20:21.626420+00:00,huurstunt,Appartement,False
Van Leeuwenhoekstraat,haarlem,61.0,1185.00,2019-01-05 19:15:02.347987+00:00,jaap,Benedenwoning,False
Berlagestraat,utrecht,40.0,1100.00,2019-01-24 09:05:29.749632+00:00,parius,Apart toilet,True
Royaards van den Hamkade 7,utrecht,75.0,1145.00,2018-12-30 21:47:53.878368+00:00,jaap,,False
Oudegracht,utrecht,44.0,1250.00,2019-02-04 16:19:45.779376+00:00,huurstunt,Appartement,False
Zamenhofstraat,amsterdam,48.0,1050.00,2019-02-24 16:12:20.369570+00:00,kamernet,Studio,True
Generaal De Wetstraat,haarlem,60.0,975.00,2019-01-04 02:19:49.838202+00:00,parius,Aparte douche,False
Kleine Houtstraat,haarlem,27.0,965.00,2019-01-04 02:08:12.448681+00:00,parius,Exclusief,False
Amsterdamsestraatweg 593 Bis,utrecht,55.0,895.00,2018-12-30 17:42:06.314870+00:00,jaap,Bovenwoning,False
Johannes Uitenbogaertstraat,utrecht,56.0,900.00,2019-01-29 23:30:56.869989+00:00,parius,Tuin,True
Schalkwijkerstraat,haarlem,50.0,925.00,2019-01-04 02:19:30.380551+00:00,parius,Vloerbedekking: Tapijt,True
Einsteindreef,utrecht,70.0,1100.00,2019-02-04 16:21:17.645379+00:00,huurstunt,Appartement,False
Burgemeester Reigerstraat,utrecht,80.0,1050.00,2019-02-04 16:20:52.233884+00:00,huurstunt,Appartement,False
Kromme Elleboogsteeg,haarlem,35.0,975.00,2019-02-05 22:49:12.116375+00:00,parius,Vloerbedekking: Laminaat,False
James Wattstraat,amsterdam,25.0,917.00,2019-01-29 17:00:05.164340+00:00,huurwoningen,Appartement (Studio),False
Wittevrouwenstraat,utrecht,28.0,825.00,2019-01-04 02:21:41.613678+00:00,parius,Parkeergelegenheid,False
Van Vollenhovenlaan,utrecht,70.0,1145.00,2019-02-04 16:20:30.798842+00:00,huurstunt,Appartement,False
Keizersgracht,amsterdam,34.0,875.00,2019-01-29 17:00:11.493704+00:00,huurwoningen,Appartement (Galerijflat),False
Croeselaan,utrecht,80.0,1250.00,2019-02-04 16:20:44.955710+00:00,huurstunt,Appartement,False
Spinozaweg 88,utrecht,46.0,1050.00,2019-02-22 16:06:51.628981+00:00,jaap,,True
Welnastraat,amsterdam,28.0,1225.00,2019-01-29 17:00:26.941615+00:00,huurwoningen,Appartement (Portiekflat),False
Galjootstraat,amsterdam,83.0,1023.00,2019-02-16 18:04:49.114474+00:00,parius,Apart toilet,True
Kea Boumanstraat,amsterdam,145.0,1000.00,2019-01-29 17:00:49.244221+00:00,huurwoningen,Appartement (Studio),False
Mataramstraat,amsterdam,34.0,600.00,2019-02-24 16:12:34.825808+00:00,kamernet,Kamer,True
Zijhuizen,haarlem,40.0,990.00,2019-01-04 19:01:21.763301+00:00,huurwoningen,Appartement (Portiekflat),False
Amsterdamsestraatweg,utrecht,55.0,895.00,2019-01-04 02:23:12.923042+00:00,parius,Tuin,False
Julianaweg,utrecht,45.0,810.00,2019-01-04 02:22:56.512533+00:00,parius,Exclusief,False
Geuzenweg,hilversum,30.0,610.00,2019-02-22 00:56:32.278700+00:00,parius,"Prijs inclusief: Gas, Water, Electra",True
Deliuslaan 84,utrecht,63.0,1250.00,2019-02-22 16:07:06.823644+00:00,jaap,Appartement,True
Gedempte Oude Gracht,haarlem,44.0,910.00,2019-01-29 17:02:50.284730+00:00,huurwoningen,Appartement (Portiekflat),False
Nieuwe Groenmarkt,haarlem,45.0,1150.00,2019-01-29 17:03:21.703554+00:00,huurwoningen,Appartement (Portiekflat),False
Surinameweg,haarlem,,905.00,2019-01-29 17:02:26.565501+00:00,huurwoningen,Huis (Eengezinswoning),False
Surinameweg,haarlem,,940.00,2019-01-29 17:02:41.882886+00:00,huurwoningen,Huis (Eengezinswoning),False
Korte Poellaan,haarlem,55.0,1250.00,2019-01-29 17:03:30.199328+00:00,huurwoningen,Appartement (Portiekflat),False
Van Eysingalaan,utrecht,70.0,1150.00,2019-01-04 02:24:39.289267+00:00,parius,Berging,False
Paramariboplein,amsterdam,70.0,1200.00,2019-02-06 16:00:32.029428+00:00,huurwoningen,Appartement (Galerijflat),False
Peelstraat,amsterdam,61.0,1250.00,2019-02-16 18:19:54.915955+00:00,parius,Garage,True
Korte Poellaan,haarlem,51.0,1075.00,2019-01-29 17:02:56.808844+00:00,huurwoningen,Appartement (Portiekflat),False
Berckheydestraat,haarlem,25.0,881.00,2019-01-29 17:03:10.240783+00:00,huurwoningen,Appartement (Portiekflat),False
Schoutenstraat,utrecht,40.0,1200.00,2019-02-04 16:21:56.816089+00:00,huurstunt,Appartement,False
Steenweg,utrecht,82.0,1195.00,2019-02-04 16:22:08.967825+00:00,huurstunt,Appartement,False
Burgemeester Hogguerstraat,amsterdam,12.0,655.00,2019-02-05 22:31:52.047205+00:00,parius,Aparte douche,False
Schoterweg,haarlem,50.0,1150.00,2019-01-29 17:03:51.119606+00:00,huurwoningen,Appartement (Portiekflat),False
Delistraat,utrecht,13.0,425.00,2019-02-04 16:21:46.686120+00:00,huurstunt,Kamer,True
Kennemerstraat,haarlem,25.0,725.00,2019-01-04 19:01:51.567902+00:00,huurwoningen,Appartement (Portiekflat),False
Melissekade,utrecht,105.0,935.00,2019-01-04 02:26:27.334052+00:00,parius,Berging,True
Holsteynstraat,haarlem,50.0,1150.00,2019-01-04 19:01:37.131376+00:00,huurwoningen,Appartement (Portiekflat),False
Victor van Vrieslandstraat,haarlem,50.0,1095.00,2019-01-29 17:04:18.556911+00:00,huurwoningen,Appartement (Galerijflat),True
Popelingstraat,haarlem,55.0,1100.00,2019-01-29 17:03:44.661125+00:00,huurwoningen,Appartement (Portiekflat),False
Julianaweg,utrecht,20.0,600.00,2019-02-04 16:22:49.716373+00:00,huurstunt,Kamer,False
Biltstraat,utrecht,24.0,785.00,2019-02-04 16:22:32.364223+00:00,huurstunt,Appartement,False
Surinameweg,haarlem,,905.00,2019-01-04 19:00:48.153081+00:00,huurwoningen,Huis (Eengezinswoning),False
Dadelstraat,utrecht,35.0,800.00,2019-02-04 16:22:59.856443+00:00,huurstunt,Appartement,False
Nachtvlinderplantsoen,utrecht,103.0,1020.00,2019-01-04 02:28:00.007116+00:00,parius,Tuin,True
Dijkgraafplein,amsterdam,15.0,655.00,2019-01-04 19:00:05.014017+00:00,huurwoningen,Kamer (Kamer),False
Surinameweg,haarlem,,940.00,2019-01-04 19:01:00.969113+00:00,huurwoningen,Huis (Eengezinswoning),False
Smaragdplein,utrecht,70.0,1195.00,2019-02-04 16:22:42.555721+00:00,huurstunt,Appartement,False
Wethouder Driessenstraat,amsterdam,111.0,960.00,2019-02-16 18:02:35.232592+00:00,parius,Apart toilet,True
J.P. Kloosstraat,amsterdam,86.0,1231.00,2019-02-16 18:03:07.626539+00:00,parius,Apart toilet,True
Valetonlaan,utrecht,76.0,1095.00,2019-01-04 02:27:23.127433+00:00,parius,Exclusief,False
Teding van Berkhoutstraat,haarlem,50.0,1175.00,2019-01-29 17:04:05.074840+00:00,huurwoningen,Appartement (Portiekflat),False
Oudegracht,utrecht,60.0,1225.00,2019-01-04 19:18:41.493130+00:00,jaap,Bovenwoning,False
Bosboomstraat,utrecht,62.0,1175.00,2019-01-04 19:02:56.998623+00:00,huurwoningen,Appartement (Galerijflat),False
Van Leeuwenhoeckstraat,utrecht,30.0,995.00,2019-01-04 19:03:08.423561+00:00,huurwoningen,Appartement (Portiekflat),False
Berlagestraat,utrecht,40.0,1100.00,2019-02-05 23:06:47.005516+00:00,parius,Exclusief,True
Valetonlaan,utrecht,76.0,1095.00,2019-01-04 20:46:03.734085+00:00,parius,Exclusief,True
Wethouder Den Hertogstraat,amsterdam,108.0,995.00,2019-02-16 18:04:08.354073+00:00,parius,Apart toilet,True
Tweede Atjehstraat 1 C,amsterdam,45.0,1250.00,2019-02-10 16:02:54.160570+00:00,jaap,Bovenwoning,True
Van Vollenhovenlaan,utrecht,80.0,1175.00,2019-02-04 16:23:08.004149+00:00,huurstunt,Appartement,False
Welnastraat 687,amsterdam,0.0,1200.00,2019-01-29 17:12:42.591369+00:00,jaap,Studio,True
Dr Schaepmanstraat,haarlem,45.0,500.00,2019-01-29 17:14:13.583725+00:00,jaap,Kamer,True
Welnastraat,amsterdam,27.0,1050.00,2019-01-28 19:00:22.492700+00:00,huurwoningen,Appartement (Studio),False
Wittevrouwenstraat 8,utrecht,28.0,825.00,2019-01-04 19:23:28.295797+00:00,jaap,,False
James Wattstraat,amsterdam,25.0,917.00,2019-01-28 19:00:15.980612+00:00,huurwoningen,Appartement (Galerijflat),False
Brigantijnkade,amsterdam,20.0,895.00,2019-01-28 19:00:03.093407+00:00,huurwoningen,Appartement (Studio),False
Valetonlaan 34,utrecht,76.0,1095.00,2019-01-04 19:23:49.933713+00:00,jaap,Appartement,False
Biltstraat 119-20,utrecht,30.0,875.00,2019-01-23 19:28:57.486240+00:00,jaap,Bovenwoning,False
Laan van Vlaanderen 141 B 7,amsterdam,45.0,1250.00,2019-02-10 16:03:12.658529+00:00,jaap,,True
Oudegracht,utrecht,60.0,1225.00,2019-01-04 20:46:32.265450+00:00,parius,Exclusief,False
Sarphatistraat,amsterdam,24.0,950.00,2019-01-28 19:00:08.531127+00:00,huurwoningen,Appartement (Studio),False
Bos en Lommerplantsoen 0 Ong,amsterdam,30.0,710.00,2018-12-30 17:29:46.771889+00:00,jaap,Bovenwoning,False
Willemsstraat,amsterdam,30.0,860.00,2019-02-24 16:12:46.323494+00:00,kamernet,Appartement,True
Rochus Meeuwiszstraat 5-3,utrecht,0.0,715.00,2019-01-04 19:22:23.559209+00:00,jaap,Appartement,False
Doggerstraat,amsterdam,101.0,1239.00,2019-01-01 22:25:07.855402+00:00,parius,Apart toilet,False
Julianaweg,utrecht,20.0,600.00,2018-12-30 17:53:06.360458+00:00,jaap,Kamer,False
Spaarnwouderstraat,haarlem,47.0,1035.00,2019-01-28 19:01:45.109994+00:00,huurwoningen,Appartement (Bovenwoning),False
Appartement Te Huur: Twijnstraat In Utrecht € 1350,utrecht,0.0,596.00,2019-01-04 19:41:36.460752+00:00,jaap,,True
Kapteynlaan,utrecht,69.0,1150.00,2019-02-10 16:05:26.455681+00:00,jaap,Appartement,False
De Lessepsstraat 65,utrecht,65.0,1250.00,2019-01-29 17:26:49.064091+00:00,jaap,Benedenwoning,True
Oudegracht,utrecht,60.0,1150.00,2019-02-14 16:01:51.084544+00:00,huurwoningen,Appartement (Bovenwoning),False
Tesselschadeplein,haarlem,37.0,1000.00,2019-02-24 16:13:17.306126+00:00,kamernet,Appartement,True
Jeruzalemstraat,utrecht,55.0,1200.00,2019-01-29 17:24:08.939577+00:00,jaap,Bovenwoning,False
H.J. Schimmelplein,utrecht,16.0,750.00,2019-01-04 20:44:41.938561+00:00,parius,Vloerbedekking: Laminaat,True
Jan Pieterszoon Coenstraat 88,utrecht,51.0,1050.00,2019-01-29 17:19:26.299578+00:00,jaap,Benedenwoning,True
Merwedeplantsoen,utrecht,160.0,1000.00,2019-02-07 16:10:47.667415+00:00,jaap,Woonboot,True
Drapenierstraat,haarlem,59.0,1195.00,2019-01-24 08:43:17.501151+00:00,parius,Tuin,False
Holsteynstraat,haarlem,65.0,1150.00,2019-02-16 18:22:25.458826+00:00,parius,Exclusief,True
Surinameweg,haarlem,,905.00,2019-01-30 17:02:29.464677+00:00,huurwoningen,Huis (Eengezinswoning),False
Berlagestraat,utrecht,40.0,850.00,2019-01-30 17:08:00.214556+00:00,huurwoningen,Appartement (Portiekflat),False
Gedempte Oude Gracht,haarlem,40.0,1025.00,2019-01-24 08:44:35.281123+00:00,parius,Tuin,False
Wapendragervlinder,utrecht,138.0,1180.00,2019-01-04 20:58:33.443121+00:00,parius,Apart toilet,True
Noord Oost Amsterdamsestraatweg 701,utrecht,70.0,950.00,2019-02-13 16:06:24.314810+00:00,jaap,Appartement,True
Rhodosdreef,utrecht,81.0,750.00,2019-02-06 16:02:44.506657+00:00,huurwoningen,Appartement (Portiekflat),False
Operettelaan,utrecht,120.0,1055.00,2019-01-04 21:02:40.557084+00:00,parius,Apart toilet,True
C. van Maasdijkstraat,utrecht,25.0,750.00,2019-01-04 21:01:50.508938+00:00,parius,Ligbad,False
Potterstraat,utrecht,50.0,1200.00,2019-02-14 16:02:17.307882+00:00,huurwoningen,Appartement (Galerijflat),True
Professor Kochstraat,hilversum,20.0,595.00,2019-02-05 23:49:15.811941+00:00,parius,Tuin,True
Geuzenweg,hilversum,16.0,495.00,2019-02-22 00:56:55.631823+00:00,parius,"Prijs inclusief: Gas, Water, Electra, Internet, Televisie",True
Weerdsingel W.Z.,utrecht,28.0,775.00,2019-01-04 21:02:12.120647+00:00,parius,Tuin,True
Schoterweg,haarlem,50.0,1100.00,2019-01-01 22:57:32.275666+00:00,parius,Vloerbedekking: Laminaat,True
Ina Boudier-Bakkerlaan,utrecht,32.0,950.00,2019-01-04 21:04:04.261810+00:00,parius,Tuin,True
Abstederdijk,utrecht,40.0,895.00,2019-02-12 23:19:01.069095+00:00,parius,Parkeergelegenheid,True
Tempeliersstraat,haarlem,45.0,1200.00,2019-02-16 18:23:44.186482+00:00,parius,Balkon,True
Hartingstraat,utrecht,65.0,1250.00,2019-02-14 16:02:26.810611+00:00,huurwoningen,Appartement (Galerijflat),False
Admiraal De Ruijterweg,amsterdam,52.0,950.00,2019-02-11 16:00:46.179428+00:00,huurwoningen,Appartement (Studio),False
Schapenkamp,hilversum,124.0,1050.00,2019-02-14 16:03:30.538269+00:00,huurwoningen,Appartement (Maisonette),True
Croeselaan,utrecht,85.0,1100.00,2019-01-04 21:07:01.513534+00:00,parius,Parkeergelegenheid,True
Sarphatistraat,amsterdam,24.0,950.00,2019-02-11 16:00:31.686841+00:00,huurwoningen,Appartement (Studio),True
Amstelveenseweg,amsterdam,42.0,1000.00,2019-02-05 22:27:37.642506+00:00,parius,Apart toilet,True
Laan van Nieuw-Guinea,utrecht,15.0,450.00,2019-02-06 16:02:59.394476+00:00,huurwoningen,Kamer (Kamer),False
Johan Huizingalaan,amsterdam,89.0,1051.00,2019-01-01 22:27:38.687669+00:00,parius,Apart toilet,False
Van Nijenrodeweg,amsterdam,40.0,1200.00,2019-01-01 22:39:11.045737+00:00,parius,Parkeergelegenheid,False
Doddendaal,amsterdam,77.0,750.00,2019-02-21 16:00:23.808393+00:00,huurwoningen,Bedrijfsruimte (Kantoor),True
Parkzichtlaan,utrecht,107.0,1115.00,2019-01-04 21:08:02.493876+00:00,parius,Apart toilet,True
Potterstraat,utrecht,50.0,1200.00,2019-02-12 23:19:24.415613+00:00,parius,Exclusief,True
Welnastraat,amsterdam,28.0,1225.00,2019-02-11 16:00:20.279787+00:00,huurwoningen,Appartement (Portiekflat),False
Musicallaan,utrecht,135.0,1185.00,2019-01-04 21:08:33.014804+00:00,parius,Apart toilet,True
Ekingenstraat,amsterdam,87.0,550.00,2019-01-29 17:00:39.369167+00:00,huurwoningen,Appartement (Bovenwoning),False
Schoterweg,haarlem,50.0,1150.00,2019-02-11 16:01:51.757212+00:00,huurwoningen,Appartement (Portiekflat),True
James Wattstraat,amsterdam,25.0,917.00,2019-01-01 22:39:45.481683+00:00,parius,Parkeergelegenheid,False
Kleiburg,amsterdam,76.0,1195.00,2019-02-04 16:00:36.829757+00:00,huurwoningen,Appartement (Galerijflat),True
Barbusselaan,amsterdam,0.0,1250.00,2019-02-13 16:04:30.973547+00:00,jaap,Appartement,False
Biltstraat,utrecht,39.0,1153.00,2019-02-04 16:03:20.839488+00:00,huurwoningen,Appartement (Galerijflat),False
Hooivletstraat 46,amsterdam,83.0,1028.00,2019-02-13 16:04:21.749446+00:00,jaap,,True
Veembroederhof,amsterdam,55.0,1250.00,2019-02-11 16:00:54.641486+00:00,huurwoningen,Appartement (Benedenwoning),True
St.-Ludgerusstraat,utrecht,30.0,998.00,2019-01-04 21:10:36.935655+00:00,parius,Begane grond,True
Amsterdamsestraatweg,utrecht,21.0,695.00,2019-01-04 21:12:56.302698+00:00,parius,Vloerbedekking: Laminaat,False
Javastraat,utrecht,20.0,525.00,2019-01-04 21:14:36.009633+00:00,parius,"Vloerbedekking: Laminaat, Tapijt",True
Utrechtseweg,hilversum,65.0,1250.00,2019-02-11 16:03:50.256319+00:00,huurwoningen,Appartement (Galerijflat),True
Peelstraat 16,amsterdam,61.0,1250.00,2019-02-14 16:04:31.068229+00:00,jaap,Appartement,True
Moezeldreef,utrecht,13.0,435.00,2019-01-04 21:13:44.273023+00:00,parius,Vloerbedekking: Laminaat,False
Willem Barentszstraat,utrecht,30.0,675.00,2019-01-04 21:13:17.759562+00:00,parius,Begane grond,False
John Blankensteinstraat 33 -d,amsterdam,78.0,1193.00,2019-02-14 16:04:21.885767+00:00,jaap,,True
Lange Herenvest,haarlem,45.0,1200.00,2019-02-16 18:25:17.344549+00:00,parius,Exclusief,True
Leemkuilen,hilversum,107.0,850.00,2019-02-11 16:03:59.724960+00:00,huurwoningen,Huis (Eengezinswoning),False
Faas Wilkesstraat 109 K,amsterdam,82.0,1250.00,2018-12-30 21:37:32.703075+00:00,jaap,Appartement,True
Zomerkade,haarlem,72.0,900.00,2019-02-21 16:01:18.130804+00:00,huurwoningen,Huis (Eengezinswoning),True
Hoogte Kadijk,amsterdam,25.0,900.00,2019-02-21 16:00:30.293457+00:00,huurwoningen,Appartement (Galerijflat),True
Gouden Leeuw,amsterdam,54.0,1250.00,2019-01-14 01:56:49.177977+00:00,parius,Balkon,False
Kleiburg,amsterdam,25.0,800.00,2019-01-01 22:42:35.529536+00:00,parius,Parkeergelegenheid,False
Zeeburgerpad,amsterdam,40.0,1200.00,2019-01-01 22:42:19.762111+00:00,parius,Tuin,True
Hof van Oslo,utrecht,50.0,920.00,2019-01-04 21:15:24.895483+00:00,parius,Garage,True
Galjootstraat,amsterdam,83.0,987.00,2019-02-14 16:04:41.279486+00:00,jaap,,False
Balderikstraat,utrecht,85.0,1195.00,2019-01-04 21:16:21.750892+00:00,parius,Vloerbedekking: Laminaat,True
Tafelbergdreef,utrecht,85.0,950.00,2019-01-04 21:16:45.897342+00:00,parius,Exclusief,True
2e Oosterstraat,hilversum,30.0,645.00,2019-02-05 23:42:19.497170+00:00,parius,Parkeergelegenheid,True
Lange Herenvest,haarlem,52.0,1150.00,2019-02-16 18:25:38.700031+00:00,parius,Exclusief,True
Amaliastraat 87 2,utrecht,0.0,865.00,2019-02-11 16:06:35.953141+00:00,jaap,Appartement,True
Justus van Effenstraat,utrecht,23.0,685.00,2019-01-14 02:22:50.028795+00:00,parius,Prijs inclusief: Service kosten,False
Appartement Te Huur: Royaards van den Hamkade In U,utrecht,0.0,1150.00,2019-02-14 16:06:11.011958+00:00,jaap,,True
Kloveniersburgwal,amsterdam,32.0,1150.00,2019-01-01 22:43:49.742798+00:00,parius,Exclusief,False
Nieuwe Koekoekstraat 34,utrecht,55.0,855.00,2019-02-11 16:06:12.601212+00:00,jaap,Benedenwoning,True
Geertekerkhof,utrecht,35.0,645.00,2019-02-14 16:06:25.223284+00:00,jaap,Appartement,True
Mattenbieslaan,utrecht,120.0,1005.00,2018-12-30 22:07:52.849821+00:00,jaap,Eengezinswoning,True
Westerdijk,utrecht,44.0,1150.00,2019-01-14 02:23:39.959924+00:00,parius,Apart toilet,False
H.J. Schimmelplein,utrecht,16.0,750.00,2019-01-05 19:03:13.517011+00:00,huurwoningen,Appartement (Studio),False
Spieghelstraat,utrecht,45.0,720.00,2019-02-14 16:06:32.358144+00:00,jaap,Appartement,False
Schoterweg,haarlem,50.0,1100.00,2019-01-01 22:57:16.828583+00:00,parius,Vloerbedekking: Laminaat,True
